service_id,date,exception_type
20161011multiint-1111000,20160302,1
20161011multiint-1111100,20160302,1
20161011multiint-0001100,20160303,1
20161011multiint-1111000,20160303,1
20161011multiint-1111100,20160303,1
20161011multiint-0000100,20160304,1
20161011multiint-0001100,20160304,1
20161011multiint-1111100,20160304,1
20161511multiint-0000010,20160305,1
20161611multiint-0000001,20160306,1
20161011multiint-1111000,20160307,1
20161011multiint-1111100,20160307,1
20161011multiint-1111000,20160308,1
20161011multiint-1111100,20160308,1
20161011multiint-1111000,20160309,1
20161011multiint-1111100,20160309,1
20161011multiint-0001100,20160310,1
20161011multiint-1111000,20160310,1
20161011multiint-1111100,20160310,1
20161011multiint-0000100,20160311,1
20161011multiint-0001100,20160311,1
20161011multiint-1111100,20160311,1
20161511multiint-0000010,20160312,1
20161611multiint-0000001,20160313,1
20161011multiint-1111000,20160314,1
20161011multiint-1111100,20160314,1
20161011multiint-1111000,20160315,1
20161011multiint-1111100,20160315,1
20161011multiint-1111000,20160316,1
20161011multiint-1111100,20160316,1
20161011multiint-0001100,20160317,1
20161011multiint-1111000,20160317,1
20161011multiint-1111100,20160317,1
20161011multiint-0000100,20160318,1
20161011multiint-0001100,20160318,1
20161011multiint-1111100,20160318,1
20161511multiint-0000010,20160319,1
20161611multiint-0000001,20160320,1
20161011multiint-1111000,20160321,1
20161011multiint-1111100,20160321,1
20161011multiint-1111000,20160322,1
20161011multiint-1111100,20160322,1
20161011multiint-1111000,20160323,1
20161011multiint-1111100,20160323,1
20161011multiint-0001100,20160324,1
20161011multiint-1111000,20160324,1
20161011multiint-1111100,20160324,1
20161512multiint-0000010,20160325,1
20161511multiint-0000010,20160326,1
20161611multiint-0000001,20160327,1
20161513multiint-0000010,20160328,1
20161011multiint-1111000,20160329,1
20161011multiint-1111100,20160329,1
20161011multiint-1111000,20160330,1
20161011multiint-1111100,20160330,1
20161011multiint-0001100,20160331,1
20161011multiint-1111000,20160331,1
20161011multiint-1111100,20160331,1
20161011multiint-0000100,20160401,1
20161011multiint-0001100,20160401,1
20161011multiint-1111100,20160401,1
20161511multiint-0000010,20160402,1
20161611multiint-0000001,20160403,1
20161011multiint-1111000,20160404,1
20161011multiint-1111100,20160404,1
20161011multiint-1111000,20160405,1
20161011multiint-1111100,20160405,1
20161011multiint-1111000,20160406,1
20161011multiint-1111100,20160406,1
20161011multiint-0001100,20160407,1
20161011multiint-1111000,20160407,1
20161011multiint-1111100,20160407,1
20161011multiint-0000100,20160408,1
20161011multiint-0001100,20160408,1
20161011multiint-1111100,20160408,1
20161511multiint-0000010,20160409,1
20161611multiint-0000001,20160410,1
20161011multiint-1111000,20160411,1
20161011multiint-1111100,20160411,1
20161011multiint-1111000,20160412,1
20161011multiint-1111100,20160412,1
20161011multiint-1111000,20160413,1
